index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,-1.37845e-12,5.09167,2.545835,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_UW,1367.42727128442,1325.7028424076022,10.28885837153339,20638113.446799662,6578265.356979007,31603092.44918441,9150441.777796775,1.2335599407196692e-07,3.8700703937080845e-07,8.055651528702537e-08,2.7821990039621683e-07,,
0,-1.37845e-12,5.09167,2.545835,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_DW,1100.8315392472334,1067.2856178252919,24.67028414149639,380796724.03065944,206747297.04873496,350305815.06948936,135602030.707341,6.685548586271516e-09,1.231375227797967e-08,7.267464285441532e-09,1.8774313236462304e-08,,
600,60.0,4.5795,4.5795,4966040.0,-10209.099999999999,2532400.0,-8777710.0,-23632400.0,19230200.0,Main Bearing_UW,1562.3977680073378,1514.0676647484288,7.758166397624631,8053345.516064393,1934310.2182116448,11495256.608771041,2613388.105410068,5.68645662956476e-07,2.3675106282765493e-06,3.9838171133176603e-07,1.7523229674612102e-06,,
600,60.0,4.5795,4.5795,4966040.0,-10209.099999999999,2532400.0,-8777710.0,-23632400.0,19230200.0,Main Bearing_DW,1317.0218236825738,1276.8335409560962,13.764858466397742,54452588.87400096,16628377.12469902,62872942.457890905,16608138.073382981,8.410068455324697e-08,2.754027026003532e-07,7.283737361373083e-08,2.75738314539866e-07,,
1200,120.0,4.38215,4.38215,5106410.0,29246.9,2185940.0,-12382500.0,-8192719.999999999,17962200.0,Main Bearing_UW,1341.9460598890832,1301.0040282143711,11.192440557392052,27323019.173748925,7053032.419389309,41442054.82852826,9831073.489706684,1.6038308109852766e-07,6.213143141031288e-07,1.0574161966948066e-07,4.4574481154964333e-07,,
1200,120.0,4.38215,4.38215,5106410.0,29246.9,2185940.0,-12382500.0,-8192719.999999999,17962200.0,Main Bearing_DW,1099.7020108325733,1066.3446555138462,23.317348068568116,315531859.82289,115279253.87340155,328681762.1243259,94831806.82471938,1.38881379600137e-08,3.80133445764008e-08,1.3332501236689931e-08,4.620970691932155e-08,,
1800,180.0,4.28927,4.28927,5052490.0,-37181.3,2384190.0,-6482930.0,-17725800.0,17233000.0,Main Bearing_UW,1488.113827446009,1442.19915526125,8.9946474406095,13184384.164552957,3030490.2144962945,18342860.411155935,3954217.091444502,3.2532956765109827e-07,1.4153716713825227e-06,2.338386655001371e-07,1.0847330586073364e-06,,
1800,180.0,4.28927,4.28927,5052490.0,-37181.3,2384190.0,-6482930.0,-17725800.0,17233000.0,Main Bearing_DW,1165.9886092556383,1130.4056197431532,18.63708494211098,149522303.96904194,46371703.92439787,179562048.22101894,46897719.85335915,2.8686489481114992e-08,9.249757151458168e-08,2.3887397378762537e-08,9.146009685357383e-08,,
2400,240.0,5.03569,5.03569,5028510.0,-64664.50000000001,2932120.0,-26227200.0,-29064600.0,23219700.0,Main Bearing_UW,1690.779681890453,1637.4147333863252,6.113571903532993,3639955.8265734343,909363.8836305082,5304642.180596727,1276008.3892447334,1.3834481075943375e-06,5.537596214945014e-06,9.492987139489826e-07,3.946439570809259e-06,,
2400,240.0,5.03569,5.03569,5028510.0,-64664.50000000001,2932120.0,-26227200.0,-29064600.0,23219700.0,Main Bearing_DW,1590.0233883768724,1540.9559505717339,8.696561594371207,11783418.143720409,3409734.493095309,12402223.891085899,3229753.871140471,4.2735392554015473e-07,1.4768569254284288e-06,4.0603121216182876e-07,1.5591559607673222e-06,,
3000,300.0,5.24514,5.24514,4908640.0,35250.0,3363780.0,-11341400.0,-31626800.0,25408300.0,Main Bearing_UW,1638.4871956071347,1587.3221227964593,6.52685176910241,4526805.800070688,1224665.182100775,6684681.427698519,1727315.970167379,1.1586845629468123e-06,4.282917548943911e-06,7.846507057563487e-07,3.0365839780267535e-06,,
3000,300.0,5.24514,5.24514,4908640.0,35250.0,3363780.0,-11341400.0,-31626800.0,25408300.0,Main Bearing_DW,1505.507271724394,1459.064935757785,10.229115905063423,20241360.37262415,6751110.66332209,20648491.096587174,5987191.532221306,2.5912981654602125e-07,7.769299396166273e-07,2.5402049842116204e-07,8.760601647320279e-07,,
3600,360.0,5.47014,5.47014,4968980.0,83873.5,3454310.0,-10098000.0,-23923600.0,27428400.0,Main Bearing_UW,1531.5845597612076,1484.1973196754245,7.668110681656052,7745936.659058939,2386798.076860632,11477515.177813534,3304211.7651787773,7.061947755024081e-07,2.2918319119792925e-06,4.7659618961550016e-07,1.6555052728904116e-06,,
3600,360.0,5.47014,5.47014,4968980.0,83873.5,3454310.0,-10098000.0,-23923600.0,27428400.0,Main Bearing_DW,1372.8722633396303,1330.9850308980294,13.338602966209466,49032102.61005981,20428090.94618787,48100602.70489657,16342531.091708565,1.1156241949285085e-07,2.67775389017484e-07,1.137228993482684e-07,3.3471804148962534e-07,,
4200,420.0,4.85368,4.85368,4872020.0,-64125.600000000006,2669630.0,1624870.0,-25954500.0,22019500.0,Main Bearing_UW,1571.552912818953,1522.7707461560294,7.565498104768382,7405785.364634727,1913939.3917947435,10717765.19063625,2617111.4566925424,6.553903146016163e-07,2.535963270732725e-06,4.5286306554285187e-07,1.8545943038031676e-06,,
4200,420.0,4.85368,4.85368,4872020.0,-64125.600000000006,2669630.0,1624870.0,-25954500.0,22019500.0,Main Bearing_DW,1337.9766513291804,1297.14963227805,13.360255166551589,49297913.79004732,16509014.457511023,55537427.76823141,15892075.940049404,9.845609330794648e-08,2.940018020150043e-07,8.739475692420182e-08,3.054151023635815e-07,,
4800,480.0,4.28177,4.28177,4959240.0,-674.75,2339680.0,8634620.0,-16032700.0,16985500.0,Main Bearing_UW,1455.9506169798035,1411.0308863908904,9.388069871610188,15206656.73131491,3538685.8854360855,21714640.71488413,4728659.194160643,2.815720822567524e-07,1.2099887185867986e-06,1.971835526187221e-07,9.054934653120062e-07,,
4800,480.0,4.28177,4.28177,4959240.0,-674.75,2339680.0,8634620.0,-16032700.0,16985500.0,Main Bearing_DW,1159.7379394106154,1124.3483601792714,19.27530909248283,167282509.52477807,52536997.29886355,193477684.02121055,50738920.09089597,2.559604116511523e-08,8.150008984416436e-08,2.2130562610676064e-08,8.438827614638714e-08,,
5400,540.0,4.16866,4.16866,4980170.0,80043.3,2204670.0,-11314200.0,-19584100.0,16319200.0,Main Bearing_UW,1532.8630561031139,1485.5609821213561,8.412209067739608,10547419.606411373,2270996.371093296,14354749.153848842,2922410.4167953576,3.952303175144403e-07,1.8356083933296365e-06,2.904028454500917e-07,1.4264457777875185e-06,,
5400,540.0,4.16866,4.16866,4980170.0,80043.3,2204670.0,-11314200.0,-19584100.0,16319200.0,Main Bearing_DW,1245.9543311103746,1207.9328200607526,15.354342033209136,78382070.99742797,21035452.509011284,97670211.56833762,23013714.414283942,5.3183846088179914e-08,1.981730603710192e-07,4.268097645189684e-08,1.8113807814581353e-07,,
6000,600.0,5.1446,2.5723,5007020.0,47610.700000000004,2896380.0,-15051700.0,-19950600.0,24657000.0,Main Bearing_UW,1507.2446095796456,1460.7312324402556,8.072500292428046,9193331.697039975,2655520.9572473774,13937983.601217663,3769240.346284726,2.7980062993139003e-07,9.68661155913587e-07,1.8455323765593153e-07,6.824452047838951e-07,,
6000,600.0,5.1446,2.5723,5007020.0,47610.700000000004,2896380.0,-15051700.0,-19950600.0,24657000.0,Main Bearing_DW,1344.4802553573095,1303.4594919430672,13.803157417409743,54959254.71431586,20861146.931944076,56290289.108500734,17691960.268553626,4.680376423172208e-08,1.2330578028100223e-07,4.569704723032843e-08,1.4539372466103178e-07,,
